Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15
4802447.089,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4802480.705,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4802514.679,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4802548.387999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4802581.526,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4802615.124999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4802649.808999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4802682.538,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4802715.952,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4802750.529999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4802783.157999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4802816.761999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4802851.237,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4802883.9799999995,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4802917.589,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4802951.811,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4802984.807999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4803018.421999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4803052.022999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4803085.635,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4803119.234,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4803152.818,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4803187.250999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4803220.219999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4803254.188999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4803288.334,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4803320.869999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4803355.274999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4803388.736,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4803421.695,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4803456.283,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4803489.174,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4803522.499,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4803557.098999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4803589.734999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4803623.337,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4803657.795,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4803690.558999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4803724.165,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4803758.123,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4803792.066,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4803824.977999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4803858.583,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4803893.177,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4803925.956,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4803959.3889999995,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4803993.998,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4804026.828,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4804060.216,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4804094.774999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
